date,trip_count,avg_fare,avg_distance,avg_passenger_count,total_revenue,day_of_week,day_name,month,month_name
2024-01-01,75529,22.19614571886295,4.655885024295304,1.5520435727288742,1676452.69,0,Monday,1,January
2024-01-02,73007,21.38506759625789,4.21255413864424,1.4189432265317594,1561259.63,1,Tuesday,1,January
2024-01-03,79958,20.07161572325471,3.9501865979639312,1.3807179933007747,1604886.25,2,Wednesday,1,January
2024-01-04,100149,18.76662512855845,3.3611590729812577,1.3554440880207588,1879458.74,3,Thursday,1,January
2024-01-05,100138,18.152441131238888,3.8272128462721446,1.3719501564022358,1817749.15,4,Friday,1,January
2024-01-06,93769,17.66398724525163,3.195012957373972,1.4583161162793294,1656334.42,5,Saturday,1,January
2024-01-07,65224,19.839679259168403,3.960788820066233,1.4249575740273748,1294023.24,6,Sunday,1,January
2024-01-08,77744,19.089622864786993,3.571164720107018,1.2955501351440437,1484103.64,0,Monday,1,January
2024-01-09,90344,17.23001095811565,3.9529723058531836,1.2732565707726353,1556628.11,1,Tuesday,1,January
2024-01-10,92519,18.213524573330883,3.4066948410596742,1.269680549219454,1685097.08,2,Wednesday,1,January
2024-01-11,102082,18.885138907936756,3.6543310279971,1.2887108154419917,1927832.75,3,Thursday,1,January
2024-01-12,100522,18.862284276078867,4.3260875231292655,1.3550282415868984,1896074.54,4,Friday,1,January
2024-01-13,101605,17.602564834407758,3.848172137197973,1.4433399195323457,1788508.6,5,Saturday,1,January
2024-01-14,91079,18.17354450531956,3.388143479836186,1.4407477454620938,1655228.26,6,Sunday,1,January
2024-01-15,74789,19.644013558143577,3.7996867186350936,1.3647198716885127,1469156.13,0,Monday,1,January
2024-01-16,90229,19.48598610202928,3.7949745647186606,1.275095409824586,1758201.04,1,Tuesday,1,January
2024-01-17,106480,18.479050244177312,3.9366112885048836,1.2823570571771292,1967649.27,2,Wednesday,1,January
2024-01-18,106989,18.197661254895365,3.0753130695678994,1.2746642372233814,1946949.58,3,Thursday,1,January
2024-01-19,93065,17.53566141943803,3.069202707784881,1.3378384411062254,1631956.33,4,Friday,1,January
2024-01-20,104620,16.632801949913976,3.6389489581342,1.4244070843462096,1740123.74,5,Saturday,1,January
2024-01-21,81257,18.783918554709135,4.960319972433145,1.3870766673592354,1526324.87,6,Sunday,1,January
2024-01-22,83070,18.928146141808114,3.4589287348019746,1.265379121902751,1572361.1,0,Monday,1,January
2024-01-23,97005,18.00770341734962,3.0264298747487244,1.2627437564146424,1746837.27,1,Tuesday,1,January
2024-01-24,102443,17.9824246654237,3.574123951856154,1.2621418923005585,1842173.53,2,Wednesday,1,January
2024-01-25,106989,18.603325855929114,4.065477105122957,1.2673297196298063,1990351.23,3,Thursday,1,January
2024-01-26,102660,18.194158484317164,3.444475550360413,1.3300548878488614,1867812.31,4,Friday,1,January
2024-01-27,107219,17.161359553810424,2.8754925899327546,1.4170637183365387,1840023.81,5,Saturday,1,January
2024-01-28,89143,18.388045387747777,3.4213878823912145,1.387831603229527,1639165.53,6,Sunday,1,January
2024-01-29,82120,18.88789807598636,3.456891134924501,1.2668569568592103,1551074.19,0,Monday,1,January
2024-01-30,98541,17.649857115312408,6.154639490161455,1.2540921103485736,1739234.57,1,Tuesday,1,January
2024-01-31,99409,17.84883571909988,3.209068092426239,1.250484933354079,1774334.91,2,Wednesday,1,January
2024-02-01,3,19.333333333333332,4.083333333333333,2.3333333333333335,58.0,3,Thursday,2,February
2024-02-02,102450,17.777018936066376,3.016742508540752,1.320866935483871,1821255.59,4,Friday,2,February
2024-02-03,107030,16.785033355134075,2.8187090535363915,1.4229286524989238,1796502.12,5,Saturday,2,February
2024-02-04,85289,18.89931186905697,3.5433286824795696,1.3867408709236477,1611903.41,6,Sunday,2,February
2024-02-05,85946,18.604756591348053,3.79322341935634,1.2719333826441745,1599004.41,0,Monday,2,February
2024-02-06,99346,18.017754514524995,3.8121792523101083,1.253322129897613,1789991.84,1,Tuesday,2,February
2024-02-07,100124,18.77775708121929,5.293616315768448,1.255367394687748,1880104.15,2,Wednesday,2,February
2024-02-08,110718,18.73268438736249,4.223492205422786,1.269851401965662,2074045.35,3,Thursday,2,February
2024-02-09,106808,18.497763650662872,6.382909894389933,1.3310037436343554,1975709.14,4,Friday,2,February
2024-02-10,108062,17.414495012122668,5.079075160555977,1.4265700622540387,1881845.16,5,Saturday,2,February
2024-02-11,92775,18.788326812180006,4.611411910536243,1.3936916022775834,1743087.02,6,Sunday,2,February
2024-02-12,89515,18.7568923644082,3.406517566888231,1.2828401820155684,1679023.22,0,Monday,2,February
2024-02-13,67148,16.588677250253173,3.0997453386549116,1.3036224098234843,1113896.5,1,Tuesday,2,February
2024-02-14,117694,17.940957482964297,4.844471595833262,1.3033534229639931,2111543.05,2,Wednesday,2,February
2024-02-15,117700,18.247918096856413,3.0706117247238742,1.2775619792771928,2147779.96,3,Thursday,2,February
2024-02-16,101643,19.01235244925868,3.7563599067323867,1.3486161063330726,1932472.54,4,Friday,2,February
2024-02-17,100639,17.380858215999762,3.8847472649767982,1.4541680216802169,1749192.19,5,Saturday,2,February
2024-02-18,89124,18.567067680983797,3.852527377586284,1.4568094527484894,1654771.34,6,Sunday,2,February
2024-02-19,73476,20.344409467036858,4.066374598508356,1.3805494149617719,1494825.83,0,Monday,2,February
2024-02-20,94317,18.895663242045444,3.355569197493559,1.293836268704095,1782182.27,1,Tuesday,2,February
2024-02-21,100813,18.1568113239364,3.639402953984109,1.2878586745634637,1830442.62,2,Wednesday,2,February
2024-02-22,112035,18.697167135270227,5.239349488998974,1.2970268296792795,2094737.12,3,Thursday,2,February
2024-02-23,99339,18.505767020002214,5.352411640946658,1.3488010355878945,1838344.39,4,Friday,2,February
2024-02-24,113025,17.46759884981199,3.000440610484406,1.4308874779204659,1974275.36,5,Saturday,2,February
2024-02-25,91276,19.322051360708183,3.7296369253692103,1.4047522436509452,1763639.56,6,Sunday,2,February
2024-02-26,83362,20.504401165998896,3.745754900314292,1.2756049819845654,1709287.89,0,Monday,2,February
2024-02-27,112524,18.20063346486083,3.2302842060360457,1.2591434425024262,2048008.08,1,Tuesday,2,February
2024-02-28,108191,18.824819994269394,3.5607150317494063,1.2564853144096195,2036676.1,2,Wednesday,2,February
2024-02-29,124177,18.851888191855174,3.443663641415077,1.2681906129345741,2340970.92,3,Thursday,2,February
2024-03-01,2,25.75,5.550000000000001,1.0,51.5,4,Friday,3,March
2024-03-02,116030,17.72844652245109,4.091350512798415,1.419461753903108,2057031.65,5,Saturday,3,March
2024-03-03,92493,19.89910577016639,3.791938741310153,1.3979291846750295,1840527.99,6,Sunday,3,March
2024-03-04,90992,19.405650386847196,3.947206018111482,1.281287042947023,1765758.94,0,Monday,3,March
2024-03-05,108338,18.609642784618508,3.04152818032454,1.2615460122699387,2016131.48,1,Tuesday,3,March
2024-03-06,125586,18.570669899511092,4.071531062379565,1.2613004329945467,2332216.15,2,Wednesday,3,March
2024-03-07,116984,18.940351159132874,4.775604014224167,1.2725359168328845,2215718.04,3,Thursday,3,March
2024-03-08,114424,18.790496748933787,3.2761844543102847,1.3307028778062377,2150083.8,4,Friday,3,March
2024-03-09,130706,17.546328018606644,3.705135035882056,1.4240205418549368,2293410.35,5,Saturday,3,March
2024-03-10,98185,19.812931405000764,3.7478980496002445,1.3890015906314115,1945332.67,6,Sunday,3,March
2024-03-11,94577,19.612740518307834,3.6284544868202633,1.3007007096644205,1854914.16,0,Monday,3,March
2024-03-12,107653,19.446877374527418,3.294599221573017,1.2793304453716088,2093514.69,1,Tuesday,3,March
2024-03-13,115112,19.203373062756274,3.2765285113628466,1.279482705532177,2210538.68,2,Wednesday,3,March
2024-03-14,130974,19.687965932169742,4.108224609464473,1.2842726417514752,2578611.65,3,Thursday,3,March
2024-03-15,122884,19.183706178184302,4.111668809609062,1.3411033621882718,2357370.55,4,Friday,3,March
2024-03-16,124892,18.765311389040132,5.218484930980368,1.4269918818645997,2343637.27,5,Saturday,3,March
2024-03-17,98405,20.91934942330166,6.349455108988365,1.3848288408617255,2058568.58,6,Sunday,3,March
2024-03-18,91783,20.20051872351089,5.652480742621183,1.2891110136429742,1854064.21,0,Monday,3,March
2024-03-19,107377,19.039960792348456,4.74300744107211,1.2670383024635856,2044453.87,1,Tuesday,3,March
2024-03-20,115635,18.970219829636356,3.824773987114628,1.2623489102503094,2193621.37,2,Wednesday,3,March
2024-03-21,127179,19.076223590372624,4.399848717162424,1.273079920804852,2426095.04,3,Thursday,3,March
2024-03-22,113381,19.17780906853882,6.811553787671656,1.3320314817378236,2174399.17,4,Friday,3,March
2024-03-23,118075,17.89479635824688,5.634297776836756,1.4397288657968992,2112928.08,5,Saturday,3,March
2024-03-24,98713,20.51743833132414,4.507206143061198,1.4178624795427053,2025337.89,6,Sunday,3,March
2024-03-25,90571,20.221748131300306,7.53395844144373,1.3216288448230606,1831503.95,0,Monday,3,March
2024-03-26,109574,19.110404931826892,6.153358369686239,1.2969377970908051,2094003.51,1,Tuesday,3,March
2024-03-27,117791,19.260256810791997,5.474404920579671,1.2993139265249805,2268684.91,2,Wednesday,3,March
2024-03-28,128635,20.14508819528122,4.116295875928013,1.3248565171424256,2591363.42,3,Thursday,3,March
2024-03-29,116076,18.979335780006203,6.330040576863435,1.4130514295003354,2203045.38,4,Friday,3,March
2024-03-30,109106,18.207564845196416,5.027805070298609,1.4799918355946589,1986554.57,5,Saturday,3,March
2024-03-31,95177,20.004945522552717,4.434685585803293,1.4665782426987661,1904010.7,6,Sunday,3,March
2024-04-01,2,33.1,7.6,1.0,66.2,0,Monday,4,April
2024-04-02,127822,19.288564018713522,4.081125236657226,1.3108553857622065,2465502.83,1,Tuesday,4,April
2024-04-03,135654,19.286700207881815,4.627002226252082,1.3047400569862815,2616318.03,2,Wednesday,4,April
2024-04-04,133412,19.56063854825653,5.642915404911102,1.3105155660085412,2609623.91,3,Thursday,4,April
2024-04-05,130406,19.084079796941857,4.790114181862798,1.3634598910012212,2488678.51,4,Friday,4,April
2024-04-06,127602,18.601548721806868,5.970216297550196,1.445255961631976,2373594.82,5,Saturday,4,April
2024-04-07,102278,20.193192670955632,4.720612741743093,1.4095713111760408,2065319.36,6,Sunday,4,April
2024-04-08,94436,19.588898407387013,7.5080066923630815,1.300619452662722,1849897.21,0,Monday,4,April
2024-04-09,117225,19.585881424610793,3.878855960759224,1.2735119163329576,2295954.95,1,Tuesday,4,April
2024-04-10,118420,18.971317091707483,8.002519591285257,1.2655767301905718,2246583.37,2,Wednesday,4,April
2024-04-11,138496,19.38829013112292,4.505777423174677,1.2783224255375985,2685200.63,3,Thursday,4,April
2024-04-12,120315,19.197187549349625,5.30087295848398,1.3389411652884706,2309709.62,4,Friday,4,April
2024-04-13,126199,17.944720322664995,5.538979706653777,1.4297044773108627,2264605.76,5,Saturday,4,April
2024-04-14,107981,20.35678545299636,5.1932123243904025,1.4140135190815042,2198146.05,6,Sunday,4,April
2024-04-15,97873,20.54425500393367,5.704411226793906,1.2961528701772969,2010727.87,0,Monday,4,April
2024-04-16,108087,19.64925374929455,4.0567042290007125,1.2701559950654622,2123828.89,1,Tuesday,4,April
2024-04-17,123315,19.35114560272473,6.600115233345497,1.2674444395155924,2386286.52,2,Wednesday,4,April
2024-04-18,130713,19.60729231216482,4.012765677476609,1.2792732684954708,2562928.0,3,Thursday,4,April
2024-04-19,116112,19.07343409811217,4.49570139175968,1.3388828613116839,2214654.58,4,Friday,4,April
2024-04-20,129109,18.919922855881463,5.169767328381445,1.4161502569897568,2442732.32,5,Saturday,4,April
2024-04-21,102668,20.0175111037519,5.301339073518526,1.3936238116034534,2055157.83,6,Sunday,4,April
2024-04-22,87738,19.970998769062437,4.534031776425266,1.3088450690586,1752215.49,0,Monday,4,April
2024-04-23,97288,19.063252199654634,4.003362285173917,1.2920925228617537,1854625.68,1,Tuesday,4,April
2024-04-24,105767,19.489532368319043,3.4005419459755877,1.2872936379112396,2061349.37,2,Wednesday,4,April
2024-04-25,119815,20.183408671702207,4.15852297291658,1.297398234516279,2418275.11,3,Thursday,4,April
2024-04-26,109822,19.659953652273682,7.050259966127006,1.357173894151386,2159095.43,4,Friday,4,April
2024-04-27,114675,18.697652060170046,5.077815565729235,1.43922331940752,2144153.25,5,Saturday,4,April
2024-04-28,96336,20.47475585450922,6.376760401096163,1.4096912739280023,1972456.08,6,Sunday,4,April
2024-04-29,94430,20.26672032193159,6.160903420523138,1.31310925680418,1913786.4,0,Monday,4,April
2024-04-30,109045,18.989062313723693,6.131002246778853,1.2804102424248327,2070662.3,1,Tuesday,4,April
2024-05-01,1,7.9,1.01,6.0,7.9,2,Wednesday,5,May
2024-05-02,129494,20.090426197352773,3.6863169722149287,1.2810459172897393,2601589.65,3,Thursday,5,May
2024-05-03,124431,19.53039716790832,3.699912642347968,1.3373943834799986,2430186.85,4,Friday,5,May
2024-05-04,129876,18.368818488404322,6.127714897286642,1.4195866794054106,2385668.67,5,Saturday,5,May
2024-05-05,116293,20.501038669567386,4.665083710971425,1.3948456190893719,2384127.29,6,Sunday,5,May
2024-05-06,100149,21.252266223327243,4.438181609401991,1.2709171423998293,2128393.21,0,Monday,5,May
2024-05-07,116218,19.97563802509078,6.109514963258703,1.2637978116698556,2321528.7,1,Tuesday,5,May
2024-05-08,124341,20.1392243105653,5.817547068143251,1.2595935607687117,2504131.29,2,Wednesday,5,May
2024-05-09,132889,20.325690764472608,5.359071104455598,1.2752930059844503,2701060.72,3,Thursday,5,May
2024-05-10,134305,19.844669148579726,6.382345184468188,1.3236722463318868,2665238.29,4,Friday,5,May
2024-05-11,127028,18.872380813678873,3.640169175299934,1.4208884144839478,2397320.79,5,Saturday,5,May
2024-05-12,109085,20.26131457120594,7.405926112664437,1.4106061897860005,2210205.5,6,Sunday,5,May
2024-05-13,108258,20.938216113358827,6.353790297252859,1.2722286988696843,2266729.4,0,Monday,5,May
2024-05-14,128404,20.71030707766113,4.922426637799446,1.2635122548367352,2659286.27,1,Tuesday,5,May
2024-05-15,134875,21.04217045412419,6.869351992585727,1.2639914070891514,2838062.74,2,Wednesday,5,May
2024-05-16,139897,20.686369686269185,4.440254329971336,1.2756322610753146,2893961.06,3,Thursday,5,May
2024-05-17,129524,20.069305534109507,5.152571492541923,1.3358867815132693,2599456.73,4,Friday,5,May
2024-05-18,133942,19.498559152468978,8.424017485180153,1.4177008550091994,2611676.01,5,Saturday,5,May
2024-05-19,110999,21.12837034567879,4.947076009693781,1.387573679649975,2345227.98,6,Sunday,5,May
2024-05-20,103417,20.613544581645183,3.7303704419969637,1.2857383344731443,2131790.94,0,Monday,5,May
2024-05-21,118261,19.786584334649632,5.873771995839711,1.2609201236675742,2339981.25,1,Tuesday,5,May
2024-05-22,127236,20.108775110817692,4.231137256751234,1.264465771624362,2558560.11,2,Wednesday,5,May
2024-05-23,119222,20.37373924275721,4.209212309808593,1.2850451220758943,2428997.94,3,Thursday,5,May
2024-05-24,106168,20.466964151156656,4.721747701755708,1.3568210223393864,2172936.65,4,Friday,5,May
2024-05-25,87072,19.102745429070193,9.54529940738699,1.474220450057232,1663314.25,5,Saturday,5,May
2024-05-26,82753,20.01677824368905,5.643879134291204,1.4723718726200885,1656448.45,6,Sunday,5,May
2024-05-27,70185,21.1744270143193,7.0198029493481515,1.429723115312635,1486127.16,0,Monday,5,May
2024-05-28,101865,20.840304128012566,7.464695921072007,1.2966266236125965,2122897.58,1,Tuesday,5,May
2024-05-29,117752,19.959665908010056,5.460630647462464,1.2844927954695753,2350290.58,2,Wednesday,5,May
2024-05-30,120154,20.196082194517036,3.3743400136491504,1.2825845286190722,2426640.06,3,Thursday,5,May
2024-05-31,113554,19.826175564048825,4.868461877168572,1.341948310139165,2251341.54,4,Friday,5,May
2024-06-01,12,21.724999999999998,4.055833333333333,1.0,260.7,5,Saturday,6,June
2024-06-02,103456,21.785995978966906,7.22554718914321,1.3897497020262217,2253892.0,6,Sunday,6,June
2024-06-03,106366,20.32774251170487,6.562421450463495,1.2764627156911823,2162180.66,0,Monday,6,June
2024-06-04,121299,20.04976924789157,6.716083232343219,1.2645903479236813,2432016.96,1,Tuesday,6,June
2024-06-05,130368,19.806645265709378,5.395277598797251,1.2674328512396693,2582152.73,2,Wednesday,6,June
2024-06-06,137757,20.622941556508927,4.225852914915394,1.2781325680920943,2840954.56,3,Thursday,6,June
2024-06-07,127549,19.73906749562913,5.303721236544386,1.3454942256979177,2517698.32,4,Friday,6,June
2024-06-08,128050,19.15096384224912,5.7312219445529085,1.4248594972279183,2452280.92,5,Saturday,6,June
2024-06-09,103276,22.02072543475735,7.771063751500833,1.396759885196518,2274212.44,6,Sunday,6,June
2024-06-10,102688,20.416206859613585,8.224667244468682,1.296281787960277,2096499.45,0,Monday,6,June
2024-06-11,116162,19.177999087481275,4.970867237134347,1.2712395767254139,2227754.73,1,Tuesday,6,June
2024-06-12,119246,18.910099206681984,4.476955369572146,1.27945617981556,2254953.69,2,Wednesday,6,June
2024-06-13,124531,19.131266030145103,4.128083449101027,1.291973012715163,2382435.69,3,Thursday,6,June
2024-06-14,119335,18.90970695940001,4.423715171575816,1.3376364798162674,2256589.88,4,Friday,6,June
2024-06-15,111428,18.963978802455397,3.4745749721793446,1.421773707798638,2113118.23,5,Saturday,6,June
2024-06-16,101394,20.9069595834073,6.317525001479377,1.4034605135510174,2119840.26,6,Sunday,6,June
2024-06-17,97253,19.419558471203974,3.606645244876765,1.302226722900415,1888610.32,0,Monday,6,June
2024-06-18,118423,18.93857806338296,4.0969515212416505,1.2835555721793122,2242763.23,1,Tuesday,6,June
2024-06-19,100149,18.76148428841027,3.949708334581474,1.3318838296307967,1878943.89,2,Wednesday,6,June
2024-06-20,120852,19.8744860656009,5.034784033363121,1.3010729381163975,2401871.39,3,Thursday,6,June
2024-06-21,115148,19.510863410567268,4.328534060513426,1.3633440514469453,2246636.9,4,Friday,6,June
2024-06-22,113914,18.66680978633004,3.6084220552346506,1.4461902669010709,2126410.97,5,Saturday,6,June
2024-06-23,99027,20.14642148101023,6.170272652912842,1.4168507664562668,1995039.68,6,Sunday,6,June
2024-06-24,106235,21.07188497199605,9.269566621170048,1.3095522880534531,2238571.7,0,Monday,6,June
2024-06-25,122621,20.365361153472897,4.196657750303782,1.2863505346350534,2497220.95,1,Tuesday,6,June
2024-06-26,128741,20.320590177177433,5.430080549319952,1.28897111800966,2616093.1,2,Wednesday,6,June
2024-06-27,123500,21.680510364372466,4.909178056680162,1.2942181425286508,2677543.03,3,Thursday,6,June
2024-06-28,108268,20.714659086710753,4.1296249122547755,1.3558024795479464,2242734.71,4,Friday,6,June
2024-06-29,106172,19.482163470594884,3.859792318125306,1.4525959367945824,2068460.26,5,Saturday,6,June
2024-06-30,88341,21.35195650943503,6.003349520607646,1.4270807891665989,1886253.19,6,Sunday,6,June
2024-07-01,3,20.03333333333333,4.390000000000001,4.0,60.099999999999994,0,Monday,7,July
2024-07-02,85035,19.403159052154994,6.039561709884166,1.3249668923814997,1649947.63,1,Tuesday,7,July
